date,close,high,low
2021-03-31,10568.37,10740.48,10565.68
2021-04-01,10564.88,10601.65,10543.79
2021-04-04,10417.15,10586.63,10417.15
2021-04-05,10256.92,10417.15,10149.24
2021-04-06,10263.22,10291.61,10222.0
2021-04-07,10227.67,10263.22,10209.36
2021-04-08,10303.55,10311.97,10227.48
2021-04-11,10393.13,10393.13,10291.39
2021-04-12,10450.09,10503.14,10393.13
2021-04-13,10305.81,10460.55,10305.81
2021-04-14,10115.51,10322.39,10114.7
2021-04-15,10143.21,10212.7,10115.51
2021-04-18,10358.26,10360.94,10143.21
2021-04-19,10441.0,10441.04,10351.12
2021-04-20,10620.05,10620.05,10441.0
2021-04-21,10642.49,10711.23,10616.77
2021-04-22,10600.07,10642.59,10560.19
2021-04-25,10604.28,10621.55,10600.07
2021-04-26,10525.84,10604.28,10507.48
2021-04-27,10591.42,10598.85,10525.84
2021-04-28,10475.26,10594.36,10475.26
2021-05-04,10465.59,10475.26,10431.8
2021-05-05,10512.84,10515.71,10418.41
2021-05-06,10588.09,10588.86,10512.84
2021-05-09,10643.63,10659.02,10588.09
2021-05-10,10686.03,10687.71,10632.01
2021-05-11,10767.84,10771.56,10686.03
2021-05-17,10674.67,10790.38,10673.67
2021-05-18,10780.9,10780.9,10669.21
2021-05-19,10806.23,10862.98,10780.9
2021-05-20,10731.96,10816.27,10731.69
2021-05-23,10812.06,10812.49,10731.96
2021-05-24,10760.95,10835.24,10760.8
2021-05-25,10531.83,10760.95,10531.61
2021-05-26,10369.57,10532.41,10369.57
2021-05-27,10242.3,10371.41,10242.3
2021-05-30,10301.58,10305.54,10242.3
2021-05-31,10309.06,10380.47,10301.58
2021-06-01,10240.21,10323.55,10231.43
2021-06-02,10120.95,10245.4,10120.95
2021-06-03,10054.81,10121.53,10029.14
2021-06-06,10122.44,10143.59,10038.57
2021-06-07,10105.04,10131.54,10091.15
2021-06-08,9963.91,10128.81,9959.32
2021-06-09,10042.18,10046.22,9959.91
2021-06-10,9977.9,10054.34,9977.48
2021-06-13,9887.19,10015.57,9887.19
2021-06-14,9933.35,9944.81,9837.61
2021-06-15,9891.18,9960.77,9891.18
2021-06-16,9880.49,9898.07,9845.3
2021-06-17,9865.59,9906.43,9863.85
